"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
preop_anticoagulant_name,preop,,dropdown,"Name des DOAK/Falithrom","1, Phenprocoumon (Falithrom) | 2, Apixaban (Eliquis) | 3, Rivaroxaban (Xarelto) | 4, Dabigatran (Pradaxa) | 99, Sonstiges",,autocomplete,,,,"[preop_anticoagulant_given] = '1'",,,,,,
preop_contraceptive_given,preop,,yesno,"Kontrazeptivum/Hormonprparate in der Vormedikation (hormonelle Kontrazeptiva, oral/TTS/Depospritzen)",,,,,,,,y,,,,,
preop_contraceptive_name,preop,,text,"Details zum Kontrazeptivum/Hormonprparat",,,,,,,"[preop_contraceptive_given] = '1'",,,,,,
preop_thrombosis_history,preop,Risikofaktoren,yesno,"Thrombose (TVT/LAE) in der Anamnese",,,,,,,,y,,,,,
preop_thrombosis_details,preop,,text,"Beschreibung der Thrombose (z.B. TVT linkes Bein 2019)",,,,,,,"[preop_thrombosis_history] = '1'",,,,,,
preop_implantat_history,preop,,yesno,"Vorhandensein eines Ports/Schrittmachers/ICDs o.. Fremdmaterial in Vv. jugularis, subclavia oder cava superior",,,,,,,,y,,,,,
preop_implantat_details,preop,,text,"Beschreibung des Ports/Schrittmachers/ICDs (z.B. Port re V. Subclavia seit 2019)",,,,,,,"[preop_implantat_history] = '1'",,,,,,
preop_tumor,preop,,text,"Art/Beschreibung des Tumors",,,,,,,,y,,,,,
preop_plt,preop,Laborwerte,text,"Thrombozyten [Gpt/l]",,,integer,10,1000,,,,,,,,
preop_ddimer,preop,,text,"D-Dimere [mg/l]",,,number,0,128,,,,,,,,
preop_wbc,preop,,text,"Leukozyten [Gpt/l]",,,number,0,100,,,,,,,,
preop_crp,preop,,text,"CRP [mg/l]",,,number,0,1000,,,,,,,,
preop_pct,preop,,text,"Procalcitonin [ng/ml]",,,number,0,200,,,,,,,,
preop_comment,preop,Kommentare,text,Kommentar,,,,,,,,,,,,,
cvc_lot,lot,Identifikation,text,"LOT (Chargennummer, z.B. 71F22A1513)",,,,,,y,,y,,,,,
cvc_insertion_time,crf,Punktion,text,"Zeitpunkt der Anlage (Punktion)",,,datetime_ymd,"01.01.2025 00:00","01.01.2027 00:00",,,,,,,,
cvc_site,crf,,radio,Punktionsort,"1, V. jugularis interna rechts | 2, V. jugularis interna links | 99, Anderer Ort: {cvc_site_details}",,,,,,,y,,,,,
cvc_site_details,crf,,text,"Anderer Punktionsort",,,,,,,"[cvc_site] = '99'",,,,,,
cvc_incision,crf,,yesno,Stichinzision,,,,,,,,y,,,,,
cvc_ecg_pos_check,crf,,radio,EKG-Lagekontrolle,"1, erfolgreich | 2, nicht erfolgreich | 3, nicht durchgeführt bei Vorhofflimmern/Rhythmusstörungen | 99, sonstiges: {cvc_ecg_pos_details}",,,,,,,y,,,,,
cvc_ecg_pos_details,crf,,text,"EKG-Lagekontrolle, sonstiges",,,,,,,"[cvc_ecg_pos_check] = '99'",,,,,,
cvc_experience,crf,,radio,"Bisherige Erfahrung der*des Anlegenden","1, weniger als 25 ZVKs | 2, 25 bis weniger als 50 ZVKs | 3, 50 bis weniger als 100 ZVKs | 4, 100 oder mehr ZVKs",,,,,,,y,,,,,
cvc_complications,crf,,checkbox,"Komplikationen bei der Anlage","1, Keine | 2, Mehrfachpunktion der Haut | 3, Mehrfachpunktion des Gef | 4, Min. einmalig frustraner Drahtvorschub | 99, Sonstiges {cvc_complication_details}",,,,,,,,,,,,
cvc_complication_details,crf,,text,"Komplikationen, sonstiges",,,,,,,"[cvc_complications(99)] = '1'",,,,,,
surgery_ops,surgery,"Operation: [mapping][fallnummer]",text,"Haupt-OPS-Code der durchgeführten Primär-OP (z.B. 5-524.1 für Partielle Duodenopankreatektomie mit Teilresektion des Magens (OP nach Whipple))",,,,,,,,y,,,,,
surgery_incision_time,surgery,,text,"Zeitpunkt Schnitt",,,datetime_ymd,"01.01.2025 00:00","01.01.2027 00:00",,,y,,,,,
surgery_suture_time,surgery,,text,"Zeitpunkt Naht",,,datetime_ymd,"01.01.2025 00:00","01.01.2027 00:00",,,y,,,,,
surgery_duration_time,surgery,,calc,"Schnitt-Naht-Zeit","round(datediff([surgery_suture_time], [surgery_incision_time], 'm', 'm'))",,,,,,,,,,,," @READONLY"
visite_time,visite,"Visite: [mapping][fallnummer]",text,"Zeitpunkt der Visite",,,datetime_ymd,,,,,y,,,,," @DEFAULT=@NOW"
visite_ward,visite,,radio,Station,"1, ITS | 2, IMC | 3, Normalstation",,,,,,,,,,,,
visite_cvc_was_removed,visite,,yesno,"ZVK heute entfernt?",,,,,,,,y,,,,,
visite_cvc_removal_reason,visite,,radio,"Grund für die ZVK-Entfernung","1, V.a. ZVK-assoziierte Blutstrominfektion/Sepsis (CLABSI) | 2, Symptomatische Thrombose (z.B. LAE) | 3, Tod des Patienten | 4, Systematisch (Routinewechsel, nicht mehr notwendig, ...) | 5, Unbekannt",,,,,,"[visite_cvc_was_removed] = '1'",,,,,,
visite_cvc_closed_lumen,visite,,text,"Anzahl verschlossener Lumen",,,integer,0,4,,,y,,,,,
visite_sepsis,visite,,yesno,"Hat die Patientin/der Patient eine Sepsis",,,,,,,,y,,,,,
visite_anticoagulation_given,visite,Medikamente,yesno,"Erhält die Patientin/der Patient eine prophylaktische/therapeutische Antikoagulation?",,,,,,,,y,,,,,
visite_anticoagulation_name,visite,,radio,"Art der prophylaktischen/therapeutischen Antikoagulation","1, Dalteparin (Fragmin) | 2, Certoparin (MonoEmbolex) | 3, Enoxaparin (Clexane) | 4, Tinzaparin (Innohep) | 5, Heparin | 6, Apixaban (Eliquis) | 7, Rivaroxaban (Xarelto) | 8, Agratroban (Agatra) | 9, Dabigatran (Pradaxa) | 99, Sonstiges {visite_anticoagulation_details}",,,,,,"[visite_anticoagulation_given] = '1'",,,,,,
visite_anticoagulation_dose,visite,,text,"Gesamtdosis der Antikoagulation pro Tag [IE für NMH/Heparin, mg für DOAK etc., 0 für keine]",,,number,0,50000,,,y,,,,,
visite_anticoagulation_details,visite,,text,"Antikoagulation, sonstiges",,,,,,,"[visite_anticoagulation_name] = '99'",,,,,,
visite_ass_given,visite,,yesno,"Erhält die Patientin/der Patient ASS?",,,,,,,,y,,,,,
visite_antiaggregant_given,visite,,yesno,"Erhält die Patientin/der Patient Thrombozytenaggregationshemmer (Clopidogrel, Prasugrel, Ticagrelor, ...)?",,,,,,,,y,,,,,
visite_antiaggregant_name,visite,,radio,"Name des Thrombozytenaggregationshemmers","1, Clopidogrel | 2, Prasugrel | 3,  Ticlopidin | 4, Ticagrelor | 5, Cangrelor | 99, Sonstiges {visite_antiaggregant_details}",,,,,,"[visite_antiaggregant_given] = '1'",,,,,,
visite_antiaggregant_details,visite,,text,"Thrombozytenaggregationshemmers, sonstiges",,,,,,,"[visite_antiaggregant_name] = '99'",,,,,,
visite_plt,visite,Laborwerte,text,"Thrombozyten [Gpt/l]",,,integer,10,1000,,,,,,,,
visite_ddimer,visite,,text,"D-Dimere [mg/l]",,,number,0,128,,,,,,,,
visite_wbc,visite,,text,"Leukozyten [Gpt/l]",,,number,0,100,,,,,,,,
visite_crp,visite,,text,"CRP [mg/l]",,,number,0,1000,,,,,,,,
visite_pct,visite,,text,"Procalcitonin [ng/ml]",,,number,0,200,,,,,,,,
visite_comment,visite,Kommentare,text,Kommentar,,,,,,,,,,,,,
measurement_crt_present,measurements,Thrombose,truefalse,Thrombose,,,,,,,,y,,,,,
measurement_crt_type,measurements,,radio,"Art der Thrombose","1, Fibrinummantelung (fibrin sheat/fibrin sleeve) | 2, Wandständiger Thrombus (mural thrombosis) | 3, Venöser Thrombus (kein Wandkontakt) | 99, Sonstiges {measurement_crt_details}",,,,,,"[measurement_crt_present] = '1'",y,,,,,
measurement_crt_details,measurements,,text,"Art der Thrombose, sonstiges",,,,,,,"[measurement_crt_type] = '99'",,,,,,
measurement_crt_length,measurements,,text,"Maximale Länge der Thrombose [mm]",,,number,,,,"[measurement_crt_present] = '1'",y,,,,,
measurement_crt_diameter,measurements,,text,"Maximaler Durchmesser der Thrombose [mm]",,,number,,,,"[measurement_crt_present] = '1'",y,,,,,
measurement_comment,measurements,Kommentare,text,Kommentar,,,,,,,,,,,,,
